Date,High,Low,Open,Close,Volume,QuoteVolume,WeightedAverage
Wed Mar 20 2019 13:00:00 GMT+0530 (IST),0.034375,0.03431505,0.03431507,0.03436499,0.08230591,2.39601906,0.03435111
Wed Mar 20 2019 13:05:00 GMT+0530 (IST),0.03438478,0.034335,0.03433504,0.034365,1.76392002,51.37200257,0.03433621
Wed Mar 20 2019 13:10:00 GMT+0530 (IST),0.03437,0.034365,0.034365,0.034365,0.00546788,0.15908969,0.03436985
Wed Mar 20 2019 13:15:00 GMT+0530 (IST),0.03436501,0.034365,0.034365,0.03436501,0.04715798,1.37226735,0.034365
Wed Mar 20 2019 13:20:00 GMT+0530 (IST),0.03436501,0.034325,0.03436501,0.03432502,0.34977877,10.1901994,0.03432501
Wed Mar 20 2019 13:25:00 GMT+0530 (IST),0.03438499,0.03432501,0.03438499,0.03432508,0.22020856,6.4153896,0.03432504
Wed Mar 20 2019 13:30:00 GMT+0530 (IST),0.03435596,0.03430419,0.03433002,0.03434723,0.16214267,4.72364437,0.03432575
Wed Mar 20 2019 13:35:00 GMT+0530 (IST),0.03438649,0.03434725,0.034355,0.03438621,0.47710123,13.87468586,0.03438645
Wed Mar 20 2019 13:40:00 GMT+0530 (IST),0.03437,0.03434723,0.03434723,0.03437,0.01275118,0.37107993,0.03436236
Wed Mar 20 2019 13:45:00 GMT+0530 (IST),0.03438,0.03434723,0.03437,0.03434724,0.32026933,9.3244335,0.03434732
Wed Mar 20 2019 13:50:00 GMT+0530 (IST),0.03438649,0.03430828,0.03434724,0.03438649,0.39663338,11.5484162,0.03434526
Wed Mar 20 2019 13:55:00 GMT+0530 (IST),0.034385,0.03431061,0.034385,0.03431315,0.0484586,1.40931946,0.0343844
Wed Mar 20 2019 14:00:00 GMT+0530 (IST),0.03440743,0.03431459,0.034385,0.03431886,0.39357001,11.44534125,0.03438691
Wed Mar 20 2019 14:05:00 GMT+0530 (IST),0.03438,0.03432017,0.03432017,0.03432623,0.62537065,18.21849517,0.03432614
Wed Mar 20 2019 14:10:00 GMT+0530 (IST),0.03433001,0.03432622,0.03432623,0.03433001,0.69779646,20.32837471,0.03432622
Wed Mar 20 2019 14:15:00 GMT+0530 (IST),0.034405,0.03433,0.03433001,0.03433005,3.70370772,107.87901365,0.03433205
Wed Mar 20 2019 14:20:00 GMT+0530 (IST),0.0344,0.03433568,0.03439,0.0344,0.05850923,1.70134448,0.03438999
Wed Mar 20 2019 14:25:00 GMT+0530 (IST),0.0344,0.03434636,0.0344,0.03438,0.00388137,0.1128595,0.03439119
Wed Mar 20 2019 14:30:00 GMT+0530 (IST),0.03438503,0.0343663,0.03438503,0.03436635,0.02202405,0.64086145,0.03436632
Wed Mar 20 2019 14:35:00 GMT+0530 (IST),0.03440749,0.03438051,0.034382,0.03438272,0.05409937,1.57278891,0.0343971
Wed Mar 20 2019 14:40:00 GMT+0530 (IST),0.03438484,0.03438482,0.03438482,0.03438484,0.00003839,0.00111676,0.03438483
Wed Mar 20 2019 14:45:00 GMT+0530 (IST),0.03440749,0.03438649,0.03438649,0.03440749,0.01216858,0.35380903,0.03439307
Wed Mar 20 2019 14:50:00 GMT+0530 (IST),0.03442106,0.03440749,0.03440749,0.03440749,0.0173036,0.50290231,0.03440749
Wed Mar 20 2019 14:55:00 GMT+0530 (IST),0.03442106,0.03431938,0.03440749,0.03431963,0.04627487,1.34682451,0.0343585
Wed Mar 20 2019 15:00:00 GMT+0530 (IST),0.03440499,0.03431963,0.03431963,0.03432157,0.00254771,0.07406843,0.03439673
Wed Mar 20 2019 15:05:00 GMT+0530 (IST),0.034395,0.03432294,0.03432294,0.03432393,0.09694016,2.82225693,0.03434845
Wed Mar 20 2019 15:10:00 GMT+0530 (IST),0.034405,0.03432541,0.034405,0.03432582,0.0390043,1.13621539,0.03432826
Wed Mar 20 2019 15:15:00 GMT+0530 (IST),0.034385,0.03432605,0.03432605,0.03432773,0.35730436,10.40890829,0.03432678
Wed Mar 20 2019 15:20:00 GMT+0530 (IST),0.03432773,0.03432773,0.03432773,0.03432773,0,0,0.03432773
Wed Mar 20 2019 15:25:00 GMT+0530 (IST),0.03432971,0.03415005,0.03432951,0.0341501,1.70483643,49.73563337,0.03427796
Wed Mar 20 2019 15:30:00 GMT+0530 (IST),0.03420133,0.03411758,0.03415008,0.03415522,0.39573302,11.587109,0.03415286
Wed Mar 20 2019 15:35:00 GMT+0530 (IST),0.03426457,0.03415304,0.034165,0.03421112,0.57142744,16.68907988,0.0342396
Wed Mar 20 2019 15:40:00 GMT+0530 (IST),0.03428683,0.03421134,0.03421134,0.03428683,0.00050795,0.01483122,0.03424882
Wed Mar 20 2019 15:45:00 GMT+0530 (IST),0.034385,0.0342481,0.03430133,0.034385,0.75160737,21.88000421,0.03435133
Wed Mar 20 2019 15:50:00 GMT+0530 (IST),0.03445384,0.03433106,0.03438542,0.03439154,0.19661159,5.71104911,0.03442652
Wed Mar 20 2019 15:55:00 GMT+0530 (IST),0.03443,0.03436522,0.03436522,0.03443,0.51564574,14.99691465,0.03438345
Wed Mar 20 2019 16:00:00 GMT+0530 (IST),0.03437001,0.03436522,0.03436522,0.03437001,0.00062683,0.0182405,0.03436527
Wed Mar 20 2019 16:05:00 GMT+0530 (IST),0.03442499,0.03431001,0.03438999,0.0344,0.27951841,8.12417803,0.03440574
Wed Mar 20 2019 16:10:00 GMT+0530 (IST),0.034415,0.03437005,0.03437005,0.034385,0.01084556,0.3151456,0.03441447
Wed Mar 20 2019 16:15:00 GMT+0530 (IST),0.03441499,0.03437002,0.03437002,0.03437505,0.09991314,2.90403081,0.03440498
Wed Mar 20 2019 16:20:00 GMT+0530 (IST),0.034405,0.03438603,0.034405,0.03439001,0.07887882,2.2926591,0.03440495
Wed Mar 20 2019 16:25:00 GMT+0530 (IST),0.03438007,0.03438001,0.03438004,0.03438001,0.02372415,0.69005607,0.03438003
Wed Mar 20 2019 16:30:00 GMT+0530 (IST),0.03447284,0.03442503,0.03444499,0.03445499,0.38414926,11.1476917,0.03445998
Wed Mar 20 2019 16:35:00 GMT+0530 (IST),0.03447284,0.03443,0.03443,0.03447284,0.04029768,1.16957524,0.03445497
Wed Mar 20 2019 16:40:00 GMT+0530 (IST),0.03447001,0.03443001,0.03443001,0.03445501,0.04529945,1.31467167,0.03445685
Wed Mar 20 2019 16:45:00 GMT+0530 (IST),0.03445501,0.03444,0.03445501,0.03445501,0.33800305,9.81172661,0.03444888
Wed Mar 20 2019 16:50:00 GMT+0530 (IST),0.03449156,0.03444002,0.034445,0.03444502,0.41578923,12.06970714,0.03444899
Wed Mar 20 2019 16:55:00 GMT+0530 (IST),0.034485,0.03444,0.03448499,0.03446,2.61958046,76.05110738,0.034445
Wed Mar 20 2019 17:00:00 GMT+0530 (IST),0.03449154,0.03445,0.03445,0.03447,0.40445956,11.73850578,0.03445579
Wed Mar 20 2019 17:05:00 GMT+0530 (IST),0.03447002,0.03447,0.03447,0.03447002,0.00054279,0.01574699,0.03447
Wed Mar 20 2019 17:10:00 GMT+0530 (IST),0.03447,0.034435,0.03447,0.034435,0.57191657,16.60854712,0.03443507
Wed Mar 20 2019 17:15:00 GMT+0530 (IST),0.034465,0.03443,0.034465,0.034465,0.00000734,0.00021318,0.03445908
Wed Mar 20 2019 17:20:00 GMT+0530 (IST),0.03443,0.03441503,0.03441503,0.034425,0.15972885,4.64075064,0.03441875
Wed Mar 20 2019 17:25:00 GMT+0530 (IST),0.03448,0.034395,0.034425,0.03444,0.1308215,3.80146788,0.03441341
Wed Mar 20 2019 17:30:00 GMT+0530 (IST),0.03452079,0.03443515,0.03444,0.03452079,2.31072065,66.96065088,0.03450863
Wed Mar 20 2019 17:35:00 GMT+0530 (IST),0.03452517,0.03447001,0.03452077,0.03447028,0.37128487,10.7548438,0.03452257
Wed Mar 20 2019 17:40:00 GMT+0530 (IST),0.03448087,0.03447061,0.03447565,0.03447061,1.02542905,29.73912199,0.03448081
Wed Mar 20 2019 17:45:00 GMT+0530 (IST),0.03449,0.03446004,0.03448087,0.03446004,0.05359229,1.55427757,0.03448051
Wed Mar 20 2019 17:50:00 GMT+0530 (IST),0.03447059,0.03446501,0.03447059,0.03447059,0.00000925,0.0002686,0.03447049
Wed Mar 20 2019 17:55:00 GMT+0530 (IST),0.03448077,0.03446501,0.03447001,0.03446501,0.20425653,5.92597248,0.03446801
Wed Mar 20 2019 18:00:00 GMT+0530 (IST),0.03451,0.03443758,0.03447001,0.0345075,2.34053546,67.82470208,0.03450859
Wed Mar 20 2019 18:05:00 GMT+0530 (IST),0.034505,0.03436257,0.03444111,0.03443,10.0075442,290.59039012,0.03443866
Wed Mar 20 2019 18:10:00 GMT+0530 (IST),0.034505,0.03446,0.03446,0.03447501,0.59757461,17.32935041,0.03448338
Wed Mar 20 2019 18:15:00 GMT+0530 (IST),0.03451,0.03450497,0.03451,0.03451,0.49488733,14.34237198,0.03450526
Wed Mar 20 2019 18:20:00 GMT+0530 (IST),0.03452518,0.03450018,0.03451,0.03450035,0.09542374,2.76524238,0.03450827
Wed Mar 20 2019 18:25:00 GMT+0530 (IST),0.03452008,0.03449003,0.03449501,0.03449501,0.46572789,13.50073891,0.03449647
Wed Mar 20 2019 18:30:00 GMT+0530 (IST),0.0345016,0.034485,0.03449501,0.034485,0.0201262,0.58359829,0.0344864
Wed Mar 20 2019 18:35:00 GMT+0530 (IST),0.0345,0.03446502,0.034485,0.03446502,0.02443642,0.70861607,0.03448471
Wed Mar 20 2019 18:40:00 GMT+0530 (IST),0.03447,0.03445001,0.03445001,0.03445001,0.46552485,13.50913771,0.03445999
Wed Mar 20 2019 18:45:00 GMT+0530 (IST),0.034495,0.03446,0.03447,0.03447103,0.0075204,0.21816883,0.03447057
Wed Mar 20 2019 18:50:00 GMT+0530 (IST),0.03452517,0.034495,0.034495,0.03452435,0.12904736,3.73936975,0.03451045
Wed Mar 20 2019 18:55:00 GMT+0530 (IST),0.034523,0.034465,0.03452,0.03447001,0.61305637,17.78189074,0.03447644
Wed Mar 20 2019 19:00:00 GMT+0530 (IST),0.03452499,0.03446599,0.03447016,0.03446599,2.02244584,58.63100146,0.03449447
Wed Mar 20 2019 19:05:00 GMT+0530 (IST),0.0345,0.03446,0.034495,0.03446,0.10916204,3.166417,0.03447494
Wed Mar 20 2019 19:10:00 GMT+0530 (IST),0.03449,0.034435,0.03449,0.03444,0.03894753,1.12929507,0.03448835
Wed Mar 20 2019 19:15:00 GMT+0530 (IST),0.03450045,0.03443153,0.03445,0.03446,0.04774377,1.38547104,0.03446032
Wed Mar 20 2019 19:20:00 GMT+0530 (IST),0.03443153,0.03441,0.03443153,0.03441,0.0013093,0.03803664,0.03442222
Wed Mar 20 2019 19:25:00 GMT+0530 (IST),0.03443999,0.03439709,0.03441,0.03439713,0.06968446,2.02336901,0.03443982
Wed Mar 20 2019 19:30:00 GMT+0530 (IST),0.03441,0.03435928,0.03439001,0.03436008,0.03430024,0.99828164,0.03435928
Wed Mar 20 2019 19:35:00 GMT+0530 (IST),0.03443,0.03436114,0.03436123,0.03442,0.86980352,25.3128848,0.03436208
Wed Mar 20 2019 19:40:00 GMT+0530 (IST),0.03443,0.03437,0.03437,0.0344,0.00220574,0.06412232,0.03439906
Wed Mar 20 2019 19:45:00 GMT+0530 (IST),0.03445447,0.03440501,0.03441,0.03441502,0.11466191,3.33006268,0.03443235
Wed Mar 20 2019 19:50:00 GMT+0530 (IST),0.03444526,0.034415,0.03442251,0.03443,1.01487629,29.47659162,0.0344299
Wed Mar 20 2019 19:55:00 GMT+0530 (IST),0.034435,0.03440393,0.03440393,0.03440423,0.00076899,0.02235196,0.0344041
Wed Mar 20 2019 20:00:00 GMT+0530 (IST),0.03446495,0.03440428,0.03440428,0.03445,0.55525231,16.1198942,0.03444515
Wed Mar 20 2019 20:05:00 GMT+0530 (IST),0.03446492,0.03445,0.03446492,0.03445497,0.0752774,2.18451742,0.03445951
Wed Mar 20 2019 20:10:00 GMT+0530 (IST),0.03445499,0.03445,0.03445499,0.03445,0.06822085,1.98028594,0.03445
Wed Mar 20 2019 20:15:00 GMT+0530 (IST),0.03447999,0.034405,0.03445,0.034405,1.75302076,50.94902989,0.03440734
Wed Mar 20 2019 20:20:00 GMT+0530 (IST),0.03441501,0.03440006,0.03441501,0.03440006,0.00011135,0.00323589,0.03441389
Wed Mar 20 2019 20:25:00 GMT+0530 (IST),0.03443,0.03437407,0.03443,0.03437432,0.35296006,10.25188796,0.03442878
Wed Mar 20 2019 20:30:00 GMT+0530 (IST),0.03448497,0.03438393,0.034445,0.034445,0.58162042,16.86902532,0.0344786
Wed Mar 20 2019 20:35:00 GMT+0530 (IST),0.03443499,0.03438366,0.03439502,0.03443499,0.03028355,0.880117,0.03440855
Wed Mar 20 2019 20:40:00 GMT+0530 (IST),0.03439836,0.03439836,0.03439836,0.03439836,0.00005537,0.00160994,0.03439836
Wed Mar 20 2019 20:45:00 GMT+0530 (IST),0.0344449,0.03439843,0.03439843,0.0344449,0.1208604,3.50934737,0.03443956
Wed Mar 20 2019 20:50:00 GMT+0530 (IST),0.0344449,0.03439847,0.0344449,0.03442,0.01481294,0.43027014,0.03442708
Wed Mar 20 2019 20:55:00 GMT+0530 (IST),0.03442,0.03439835,0.03439852,0.03439837,0.36174073,10.51620483,0.03439841
Wed Mar 20 2019 21:00:00 GMT+0530 (IST),0.034415,0.03439835,0.03439835,0.03439836,0.0690617,2.00770393,0.03439835
Wed Mar 20 2019 21:05:00 GMT+0530 (IST),0.03442999,0.03439836,0.03439843,0.034425,0.05749724,1.67002875,0.03442889
Wed Mar 20 2019 21:10:00 GMT+0530 (IST),0.03439853,0.03439836,0.03439836,0.03439852,0.72278829,21.01218595,0.03439852
Wed Mar 20 2019 21:15:00 GMT+0530 (IST),0.034435,0.03439849,0.034435,0.03443,0.04731566,1.37530399,0.03440378
Wed Mar 20 2019 21:20:00 GMT+0530 (IST),0.03442,0.03439836,0.03442,0.03439836,0.3412242,9.91969612,0.03439865
Wed Mar 20 2019 21:25:00 GMT+0530 (IST),0.03439836,0.03439835,0.03439836,0.03439836,0.22669272,6.59021968,0.03439835
Wed Mar 20 2019 21:30:00 GMT+0530 (IST),0.03444489,0.03440005,0.03444489,0.03442,3.81486531,110.83201472,0.03442024
Wed Mar 20 2019 21:35:00 GMT+0530 (IST),0.03444488,0.03442,0.03442,0.03442999,0.00046908,0.01362496,0.03442826
Wed Mar 20 2019 21:40:00 GMT+0530 (IST),0.034435,0.03442,0.03442001,0.03442,0.03594166,1.04390714,0.03442994
Wed Mar 20 2019 21:45:00 GMT+0530 (IST),0.034425,0.03435114,0.03442,0.03435115,0.55446338,16.11949097,0.03439707
Wed Mar 20 2019 21:50:00 GMT+0530 (IST),0.03439967,0.03435118,0.03435118,0.03439967,0.04527229,1.31757219,0.03436038
Wed Mar 20 2019 21:55:00 GMT+0530 (IST),0.03437499,0.03435118,0.03437499,0.0343512,0.27020504,7.86289172,0.03436458
Wed Mar 20 2019 22:00:00 GMT+0530 (IST),0.03438479,0.03435114,0.034355,0.03435114,0.14277386,4.15345425,0.03437472
Wed Mar 20 2019 22:05:00 GMT+0530 (IST),0.03437499,0.0343173,0.03435114,0.03431959,0.9119962,26.54699797,0.03435402
Wed Mar 20 2019 22:10:00 GMT+0530 (IST),0.03437498,0.03432153,0.03432153,0.03437498,0.0401592,1.16826926,0.03437496
Wed Mar 20 2019 22:15:00 GMT+0530 (IST),0.03437498,0.0343171,0.03433001,0.03436999,0.04274922,1.24485512,0.03434072
Wed Mar 20 2019 22:20:00 GMT+0530 (IST),0.034345,0.0343188,0.0343188,0.03431998,0.00003473,0.00101222,0.03431931
Wed Mar 20 2019 22:25:00 GMT+0530 (IST),0.03437497,0.03432001,0.03434528,0.03432171,0.00345681,0.10063902,0.0343486
Wed Mar 20 2019 22:30:00 GMT+0530 (IST),0.03437498,0.03433,0.03437498,0.03437498,0.13533694,3.94023575,0.03434742
Wed Mar 20 2019 22:35:00 GMT+0530 (IST),0.03437,0.034346,0.03434604,0.03437,0.03528225,1.0265747,0.03436891
Wed Mar 20 2019 22:40:00 GMT+0530 (IST),0.034346,0.034346,0.034346,0.034346,0.0000266,0.00077475,0.034346
Wed Mar 20 2019 22:45:00 GMT+0530 (IST),0.034346,0.0343452,0.034346,0.0343452,0.00842679,0.24535021,0.03434599
Wed Mar 20 2019 22:50:00 GMT+0530 (IST),0.034346,0.03434001,0.0343452,0.03434001,0.02064055,0.6010208,0.03434249
